,Rank,Name,Year,IMDB_Rating
0,1, The Shawshank Redemption,1994,9.3
1,2, The Godfather,1972,9.2
2,3, The Dark Knight,2008,9
3,4, The Godfather Part II,1974,9
4,5, 12 Angry Men,1957,9
5,6, Schindler's List,1993,9
6,7, The Lord of the Rings: The Return of the King,2003,9
7,8, Pulp Fiction,1994,8.9
8,9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9
9,10," Il buono, il brutto, il cattivo",1966,8.8
10,11, Forrest Gump,1994,8.8
11,12, The Lord of the Rings: The Two Towers,2002,8.8
12,13, Fight Club,1999,8.8
13,14, Inception,2010,8.8
14,15, Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,16, The Matrix,1999,8.7
16,17, Goodfellas,1990,8.7
17,18, One Flew Over the Cuckoo's Nest,1975,8.7
18,19, Se7en,1995,8.6
19,20, It's a Wonderful Life,1946,8.6
20,21, Interstellar,2014,8.7
21,22, Shichinin no samurai,1954,8.6
22,23, The Silence of the Lambs,1991,8.6
23,24, Saving Private Ryan,1998,8.6
24,25, Cidade de Deus,2002,8.6
25,26, La vita è bella,1997,8.6
26,27, The Green Mile,1999,8.6
27,28, Terminator 2: Judgment Day,1991,8.6
28,29, Star Wars,1977,8.6
29,30, Back to the Future,1985,8.5
30,31, Sen to Chihiro no kamikakushi,2001,8.6
31,32, Spider-Man: Across the Spider-Verse,2023,8.6
32,33, The Pianist,2002,8.5
33,34, Gisaengchung,2019,8.5
34,35, Psycho,1960,8.5
35,36, Gladiator,2000,8.5
36,37, The Lion King,1994,8.5
37,38, Léon,1994,8.5
38,39, The Departed,2006,8.5
39,40, American History X,1998,8.5
40,41, Whiplash,2014,8.5
41,42, The Prestige,2006,8.5
42,43, Hotaru no haka,1988,8.5
43,44, Seppuku,1962,8.6
44,45, The Usual Suspects,1995,8.5
45,46, Casablanca,1942,8.5
46,47, Intouchables,2011,8.5
47,48, Modern Times,1936,8.5
48,49, Nuovo Cinema Paradiso,1988,8.5
49,50, Rear Window,1954,8.5
50,51, C'era una volta il West,1968,8.5
51,52, 12th Fail,2023,9.1
52,53, Alien,1979,8.5
53,54, City Lights,1931,8.5
54,55, Apocalypse Now,1979,8.4
55,56, Django Unchained,2012,8.5
56,57, Memento,2000,8.4
57,58, WALL·E,2008,8.4
58,59, Raiders of the Lost Ark,1981,8.4
59,60, Das Leben der Anderen,2006,8.4
60,61, Sunset Blvd,1950,8.4
61,62, Paths of Glory,1957,8.4
62,63, Avengers: Infinity War,2018,8.4
63,64, Spider-Man: Into the Spider-Verse,2018,8.4
64,65, The Shining,1980,8.4
65,66, Witness for the Prosecution,1957,8.4
66,67, The Great Dictator,1940,8.4
67,68, Alien 2,1986,8.4
68,69, Inglourious Basterds,2009,8.4
69,70, The Dark Knight Rises,2012,8.4
70,71, Dr,1964,8.4
71,72, American Beauty,1999,8.3
72,73, Oldeuboi,2003,8.3
73,74, Coco,2017,8.4
74,75, Amadeus,1984,8.4
75,76, Toy Story,1995,8.3
76,77, Das Boot,1981,8.4
77,78, Braveheart,1995,8.3
78,79, Avengers: Endgame,2019,8.4
79,80, Joker,2019,8.4
80,81, Mononoke-hime,1997,8.3
81,82, Good Will Hunting,1997,8.3
82,83, Oppenheimer,2023,8.4
83,84, Kimi no na wa,2016,8.4
84,85, Once Upon a Time in America,1984,8.3
85,86, Tengoku to jigoku,1963,8.4
86,87, 3 Idiots,2009,8.4
87,88, Singin' in the Rain,1952,8.3
88,89, Capharnaüm,2018,8.4
89,90, Requiem for a Dream,2000,8.3
90,91, Idi i smotri,1985,8.4
91,92, Toy Story 3,2010,8.3
92,93, Star Wars: Episode VI - Return of the Jedi,1983,8.3
93,94, Eternal Sunshine of the Spotless Mind,2004,8.3
94,95, Jagten,2012,8.3
95,96, Poor Things,2023,8.4
96,97, 2001: A Space Odyssey,1968,8.3
97,98, Reservoir Dogs,1992,8.3
98,99, Ikiru,1952,8.3
99,100, Lawrence of Arabia,1962,8.3
100,101, The Apartment,1960,8.3
101,102, Citizen Kane,1941,8.3
102,103, North by Northwest,1959,8.3
103,104, M - Eine Stadt sucht einen Mörder,1931,8.3
104,105, Vertigo,1958,8.3
105,106, Double Indemnity,1944,8.3
106,107, Scarface,1983,8.3
107,108, Incendies,2010,8.3
108,109, Le fabuleux destin d'Amélie Poulain,2001,8.3
109,110, Full Metal Jacket,1987,8.3
110,111, A Clockwork Orange,1971,8.3
111,112, Heat,1995,8.3
112,113, Up,2009,8.3
113,114, To Kill a Mockingbird,1962,8.3
114,115, The Sting,1973,8.3
